Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,LenX,LenY,LenZ,X,Y,Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double position,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
Kitchen Base 2Door,1,,Kitchen,East_Wall,Simple Box,ExptoExp,750,450,1000,,,,750,450,1000,110,730,18,18,10,50,9,50,6,17,100,,,,,,,,,,,
shelf plank,2,,,,,,714,402,18,18,38,546,,,,,,,,,,,,,,,,,,,,,,,,,
back_plank,2,,,,,,734,10,890,8,440,110,,,,,,,,,,,,,,,,,,,,,,,,,
skriting,2,,,,,,730,18,110,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
bottom plank,2,,,,,,714,422,18,18,18,110,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,714,422,18,18,18,982,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,211,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,372,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,704.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,704.5,211,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,704.5,372,0,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,18,434,1000,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,18,50,991,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,18,211,991,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,18,372,991,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,895,18,422,105,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,18,434,1000,732,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,50,991,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,211,991,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,372,991,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,895,0,432,105,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,373,18,888,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,349.5,18,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,349.5,18,444,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,349.5,18,788,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,373,18,888,375,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,18,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,18,444,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,0,23.5,18,788,,,,,,,,,,,,,,,,,,,,,,,,,
Kitchen Base 1Door,1,,Kitchen,North_Wall,Simple Box,ExptoBox,400,600,800,,,,400,600,800,110,360,20,20,10,50,50,50,6,17,100,,,,,,,,,,,
bottom plank,2,,,,,,360,570,20,20,20,110,,,,,,,,,,,,,,,,,,,,,,,,,
back plank,2,,,,,,390,10,690,10,590,110,,,,,,,,,,,,,,,,,,,,,,,,,
skriting,2,,,,,,360,20,110,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Door,2,,,,,,398,20,688,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,344,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,588,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,, ,,20,582,800,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,50,789,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,285,789,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,520,789,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,695,20,570,105,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,360,570,20,20,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,285,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,520,0,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,570,800,380,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,50,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,192.5,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,377.5,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,520,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,50,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,192.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,377.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,0,520,120,,,,,,,,,,,,,,,,,,,,,,,,,
Kitchen Base 1Door,1,,Kitchen,North_Wall,Simple Box,BoxtoExp,400,600,800,,,,400,600,800,110,360,20,20,10,50,50,50,6,17,100,,,,,,,,,,,
bottom plank,2,,,,,,360,570,20,20,20,110,,,,,,,,,,,,,,,,,,,,,,,,,
back plank,2,,,,,,390,10,690,0,590,110,,,,,,,,,,,,,,,,,,,,,,,,,
skriting,2,,,,,,360,20,110,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Door,2,,,,,,398,20,688,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,344,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,588,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,, ,,20,570,800,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,192.5,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,377.5,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,520,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,192.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,377.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,520,120,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,360,570,20,20,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,350.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,350.5,285,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,350.5,520,0,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,582,800,380,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,50,789,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,285,789,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,520,789,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,695,0,580,105,,,,,,,,,,,,,,,,,,,,,,,,,
WM_Box_Bottom_Exp,1,,Kitchen,East_Wall,WallMount,ExptoExp,800,550,600,,,,800,550,600,0,0,20,20,10,50,50,50,6,17,100,,,,,,,,,,,
back plank,2,,,,,,780,10,590,10,540,10,,,,,,,,,,,,,,,,,,,,,,,,,
shelf plank H,2,,,,,,760,500,20,20,40,290,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,20,532,600,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,50,589,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,470,589,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,590,20,520,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,50,11,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,20,470,11,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,760,520,20,20,20,580,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,470,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,470,0,,,,,,,,,,,,,,,,,,,,,,,,,
right plank,2,,,,,,20,532,600,780,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,50,11,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,470,11,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,595,0,530,5,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,50,589,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,470,589,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,398,20,598,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,299,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,20,498,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,398,20,598,400,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,374.5,20,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,374.5,20,299,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,374.5,20,498,,,,,,,,,,,,,,,,,,,,,,,,,
bottom plank,2,,,,,,760,532,20,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,20,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,470,20,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,50,20,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,750.5,470,20,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,760,10,10,0,530,20,,,,,,,,,,,,,,,,,,,,,,,10,0,-2
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double positiion,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
K_Base Bothside Exp 1Door,1,,Kitchen,North_Wall,Simple Box,ExptoExp,600,550,810,,,,600,550,810,110,560,20,21,10,50,50,50,,,,,,,,,,,,,,
bottom plank,2,,,,,,560,519,20,20,21,110,,,,,,,,,,,,,,,,,,,,,,,,,
back plank,2,,,,,,580,10,700,10,540,110,,,,,,,,,,,,,,,,,,,,,,,,,
skriting,2,,,,,,560,20,110,20,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,560,519,20,20,21,790,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,259.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,9.5,469,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,550.5,50,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Main_Hole,3,,,,,,20,20,16,550.5,259.5,0,,,,,,,,,,,,,,,,,,,,,,,,,
