S no:,Brand,Laminate code,Colour,Laminate thickness,Laminate Price,Laminate Photo,Comments
1,Century,5836 SL,Vintage Stone,2,2175,https://drive.google.com/file/d/1s1H4EDGpNd7Zl29EuIE5hYYfzzJSnSQi/view?usp=drive_link,Premium
2,Century,3284 SU,Smoke Green,2,,https://drive.google.com/file/d/1qYAZiL8BdoEyt0o2Ugz6v-0hd7HLa1R6/view?usp=drive_link,
3,Century,3238 SU,Silica Grey,2,,https://drive.google.com/file/d/1n3ERM_LV5Bng9SJYcOF9yn4GYDrxQAIi/view?usp=drive_link,
4,Century,5848 SL,Saturno Marble,2,2175,https://drive.google.com/file/d/15NOtMsC5QTJR3WSqcl1Prk9J5hM03nkT/view?usp=drive_link,Premium
5,Century,3852 SL,Sagrada Marble,2,2175,https://drive.google.com/file/d/11t4skVGxuKf0TSupYFYdhmNlu3cYBUMT/view?usp=drive_link,
6,Century,5837 SL,Rustic Stone,2,2175,https://drive.google.com/file/d/1Xm-dksjHFpuwlg_HsJ5YXwwQRl0C3xT9/view?usp=drive_link,
7,Century,5846 SL,Royal Marble,2,2175,https://drive.google.com/file/d/1A2u3szLwNlA9osFU7nRyVTNEFPN4I271/view?usp=drive_link,
8,Century,152 SU,Rose Pink,2,,https://drive.google.com/file/d/1CDS22Y7foOXNVpLnrOfx_fofZWdHZXNf/view?usp=drive_link,
9,Century,153 SU,Punch,2,,https://drive.google.com/file/d/1eDPE-gZeVbAyHoGzhpqje7ASsA3Y2zST/view?usp=drive_link,
10,Century,276 SU,Pista Green,2,,https://drive.google.com/file/d/1t1hlL9dIXvoQYCExiiINt40PTL0CZwYg/view?usp=drive_link,
11,Century,255 SU,Phiroja Blue,2,,https://drive.google.com/file/d/1optX4KrOoRPMiMNCEHwNHHP2CepN4ES4/view?usp=drive_link,
12,Century,131 SU,Pebble Ivory,2,,https://drive.google.com/file/d/1WNvUIE0ZVbf87bBis7K62Lfpji5NKGxe/view?usp=drive_link,
13,Century,5891 SL,Onyx,2,2175,https://drive.google.com/file/d/1pBhOBRZ_fyXIivCrmCicx47bYmvBOv68/view?usp=drive_link,
14,Century,5845 SL,Moonlight Marble,2,2175,https://drive.google.com/file/d/1AqAV3opmW1fuwcHRraXPyOjT0NaL6gMa/view?usp=drive_link,
15,Century,263 SU,Misty Lavender,2,,https://drive.google.com/file/d/1WgxnS8DnHanzaXdN7WqIL741dp_l9CzN/view?usp=drive_link,
16,Century,269 SU,Lupine,2,,https://drive.google.com/file/d/1NhyOMVGLQQZgm5tOaHmT50kQcA_6Dqm6/view?usp=drive_link,
17,Century,161 SU,Light Beige,2,,https://drive.google.com/file/d/18Zy0N3UtJO0gwbyRqOUi50gZt7889glH/view?usp=drive_link,
18,Century,5881 SL,Khabi Tiles,2,2175,https://drive.google.com/file/d/1QLizRxHHfY11lrHqbGt0MKOiweJ9lT2F/view?usp=drive_link,
19,Century,3853 SL,Gothic Marble,2,2175,https://drive.google.com/file/d/1RW3dY3Vno3ahv6NfAiot6akCMLu8J79q/view?usp=drive_link,
20,Century,224 SU,Gothic Grey,2,,https://drive.google.com/file/d/1ZWmTC5S4ClKmQHedjLbIjzsoRo9I1uGn/view?usp=drive_link,
21,Century,3246 SU,Flint,2,,https://drive.google.com/file/d/1lnxbD_1-wXBpEZ0MGFXemMODbqYeq6fz/view?usp=drive_link,
22,Century,288 SU,Dream Green,2,,https://drive.google.com/file/d/1RWdNDy5-Q4n7oJcOYcTSsxgrlWEM18nO/view?usp=drive_link,
23,Century,168 SU,Brazilian Sand,2,,https://drive.google.com/file/d/1_BEsiE7m7y7RzJ5LaX4To8BXezCu21Ph/view?usp=drive_link,
24,Century,3836 SL,Bark Stone,2,2175,https://drive.google.com/file/d/1fSlj7Xt3pl2Ln5vFuckuLPvtWUaOgwpv/view?usp=drive_link,
25,Century,3245 SU,Arctic Blue,2,,https://drive.google.com/file/d/1jB_XCDo0sxLzkp5fEkLvVR9XW-Kx6nnl/view?usp=drive_link,
26,Century,146 SU,Almond Pink,2,,https://drive.google.com/file/d/1fUoUz2nGJNlou2Zgqm4u3eZvaGswg1lw/view?usp=drive_link,
27,Century,228 SU,Allu Grey,2,,https://drive.google.com/file/d/1PCTbMrTxS2hGUovLAS4R96aaX-t2sYwx/view?usp=drive_link,
28,Century,127 SU,Almond Ivory,2,,https://drive.google.com/file/d/1xdEXXxWSejOPRFGeXMTFs7Bcb7U5nNT9/view?usp=drive_link,
29,Century,266 SU,Antique Violet,2,,https://drive.google.com/file/d/1V_pc6zfE5RBzKzFZ3F0qzpvgxn6weAUh/view?usp=drive_link,
30,Century,163 SU,Beige,2,,https://drive.google.com/file/d/1hQQ3d_mCMZOE12HRggf_uXdxW3izqzjS/view?usp=drive_link,
31,Century,293 SU,Black,2,,https://drive.google.com/file/d/1FYmAQZJgfSi1TR_RWLgSkc3uBT_NElaI/view?usp=drive_link,
32,Century,194 GL,Blood Red,2,,https://drive.google.com/file/d/12VtS885obIjWxgEnRSwR5R36knlulhGH/view?usp=drive_link,
33,Century,245 SU,Blue,2,,https://drive.google.com/file/d/1-7UXdrEfcoXdnfrq5wQMvwPKPwc_4Y5b/view?usp=drive_link,
34,Century,3241 SU,Blue Blush,2,,https://drive.google.com/file/d/1iewGjJqnUvJOXoRtJEFJK4WxC8I8tcOh/view?usp=drive_link,
35,Century,234 SU,Bluish Grey,2,,https://drive.google.com/file/d/1KgPD8obW-VhHs6yUuu6yR3TlYeBoLa6A/view?usp=drive_link,
36,Century,178 SU,Camel,2,,https://drive.google.com/file/d/1JPGQZ13dcn5th3hlT7ccy6qbSZuNNfWG/view?usp=drive_link,
37,Century,157 SU,Ceramic,2,,https://drive.google.com/file/d/16KRiMje4cI4Q--clIhWfmpfudtUgnCPL/view?usp=drive_link,
38,Century,174 SU,Chocolate,2,,https://drive.google.com/file/d/1kuDWfowht9sIuInFpTfcCeZJDpAs0qWq/view?usp=drive_link,
39,Century,217 SU,Classic Orange,2,,https://drive.google.com/file/d/1Sa5zbuRvSmzuP2lh3nhrdFbFAOR_yqpL/view?usp=drive_link,
40,Century,3142 SU,Classy Wine,2,,https://drive.google.com/file/d/1KIXJ9RaQCeNkG79Und0JeDWyJKfHMqut/view?usp=drive_link,
41,Century,3233 SU,Concrete Grey,2,,https://drive.google.com/file/d/1DHXylO_IDC6gC8-Y7Kc0nSiuS9d6S4R5/view?usp=drive_link,
42,Century,90196 SU,Coral,2,,https://drive.google.com/file/d/1di8BB9flx8PyJsElQqe5v6RisdHmKxkz/view?usp=drive_link,
43,Century,265 SU,Darkish Purple,2,,https://drive.google.com/file/d/1LMMwbG7UPFDNHPUmDqgSoTPhRFkPabdx/view?usp=drive_link,
44,Century,259 SU,Dawn Blue,2,,https://drive.google.com/file/d/1NuDxZr904TnQC1hkAamKUkd_l-zcRcGj/view?usp=drive_link,
45,Century,177 SU,Deep Bronze,2,,https://drive.google.com/file/d/1Yt4yJR0KPAKHREHg-RU3OwVEnnFncKMe/view?usp=drive_link,
46,Century,274 SU,Desert Green,2,,https://drive.google.com/file/d/1ZIawQsZmmIw2UOAPyTq7_FVSbWsPHByJ/view?usp=drive_link,
47,Century,109 SU,Designer White,2,,https://drive.google.com/file/d/1SQRjwuLRyiHBVJz5bePx_CA34p1P_BIH/view?usp=drive_link,
