Sno,Brand,Grade/Type,Material,Thickness ,MRP (per Sqm),Discount,Rate (Per Sqm),GST,Price (per Sqm),Price (per SFT),,Remarks
1,Austin,MR,Plywood,6,570.49,31.90%,388.5,18%,458.43,42.68,,5 years warranty
2,Austin,MR,Plywood,8,661.99,28.94%,470.39,18%,555.0602,51.68,,
3,Austin,MR,Plywood,12,785.77,26.39%,578.4,18%,682.512,63.55,,
4,Austin,MR,Plywood,16,974.14,25.51%,725.62,18%,856.2316,79.72,,
5,Austin,MR,Plywood,18,1087.16,24.68%,818.82,18%,966.2076,89.96,,
6,Austin,MR,Block Board,18,1157.13,24.57%,872.83,18%,1029.9394,95.90,,
7,Austin,Gold Premium,Plywood ,4,661.99,23.93%,503.6,18%,594.248,55.33,,30 Years Warranty
8,Austin,Gold Premium,Plywood ,6,764.24,21.58%,599.33,18%,707.2094,65.85,,
9,Austin,Gold Premium,Plywood ,9,888.03,21.37%,698.23,18%,823.9114,76.71,,
10,Austin,Gold Premium,Plywood ,12,1119.46,21.90%,874.26,18%,1031.6268,96.05,,
11,Austin,Gold Premium,Plywood ,16,1345.5,21.33%,1058.46,18%,1248.9828,116.29,,
12,Austin,Gold Premium,Plywood ,19,1490.81,19.38%,1201.83,18%,1418.1594,132.04,,
13,Austin,Gold Premium,Plywood ,25,2335.79,19.86%,1871.93,18%,2208.8774,205.67,,
14,Austin,Gold Premium,Block Board,16,1469.29,87.04%,190.49,18%,224.7782,20.93,,
15,Austin,Gold Premium,Block Board,19,1533.87,18.75%,1246.29,18%,1470.6222,136.93,,
16,Austin,Gold Premium,Block Board,25,2152.8,20.72%,1706.79,18%,2014.0122,187.52,,
17,Austin,Club+,Plywood ,4,731.95,100.00%,,18%,0,0.00,,500% Lifetime Warranty
18,Austin,Club+,Plywood ,6,866.5,100.00%,,18%,0,0.00,,
19,Austin,Club+,Plywood ,9,1011.82,100.00%,,18%,0,0.00,,
20,Austin,Club+,Plywood ,12,1286,100.00%,,18%,0,0.00,,
21,Austin,Club+,Plywood ,16,1539.25,100.00%,,18%,0,0.00,,
22,Austin,Club+,Plywood ,19,1765.3,100.00%,,18%,0,0.00,,
23,Austin,Club+,Plywood ,25,2680.24,100.00%,,18%,0,0.00,,
24,Austin,Club+,Block Board,19,1808.35,100.00%,,18%,0,0.00,,
25,Austin,Club+,Block Board,25,2314.26,100.00%,,18%,0,0.00,,
26,Austin,Platinum+,Plywood ,4,775.01,100.00%,,18%,0,0.00,,750% Lifetime Warranty
27,Austin,Platinum+,Plywood ,6,952.61,100.00%,,18%,0,0.00,,
28,Austin,Platinum+,Plywood ,9,1146.37,100.00%,,18%,0,0.00,,
29,Austin,Platinum+,Plywood ,12,1436.99,100.00%,,18%,0,0.00,,
30,Austin,Platinum+,Plywood ,16,1862.17,100.00%,,18%,0,0.00,,
31,Austin,Platinum+,Plywood ,19,2039.78,100.00%,,18%,0,0.00,,
32,Austin,Platinum+,Plywood ,25,3261.49,100.00%,,18%,0,0.00,,
33,Austin,Platinum+,Block Board,19,1899.85,100.00%,,18%,0,0.00,,
34,Austin,Platinum+,Block Board,25,2454.19,100.00%,,18%,0,0.00,,
35,Austin,710,Plywood ,6,592.02,29.67%,416.38,18%,491.3284,45.75,,15 years Warranty
36,Austin,710,Plywood ,8,705.04,28.71%,502.62,18%,593.0916,55.22,,
37,Austin,710,Plywood ,12,898.79,28.86%,639.38,18%,754.4684,70.25,,
38,Austin,710,Plywood ,16,1146.37,29.41%,809.24,18%,954.9032,88.91,,
39,Austin,710,Plywood ,19,1237.86,24.00%,940.77,18%,1110.1086,103.36,,
40,Austin,710,Block Board,19,1329.35,24.32%,1006.11,18%,1187.2098,110.54,,
,,,,,,,,,,0.00,,
,,,,,,,,,,,,
,,,,,,,,,,,,
41,Greenply,Gold,Plywood ,6,,,,,,68,,30 Years Warranty
42,Greenply,Gold,Plywood ,9,,,,,,81,,30 Years Warranty
43,Greenply,Gold,Plywood ,12,,,,,,100,,30 Years Warranty
44,Greenply,Gold,Plywood ,19,,,,,,139,,30 Years Warranty
